open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
224.0,224.8,217.13,218.54,61630300.0,224.8,217.13,218.54,224.0,61777576.0,1.0,0.0,AAPL,XNAS,2024-07-24T00:00:00+0000
224.37,226.94,222.68,225.01,39855700.0,226.94,222.68,225.01,224.365,39960260.0,1.0,0.0,AAPL,XNAS,2024-07-23T00:00:00+0000
227.01,227.78,223.09,223.96,48156700.0,227.78,223.09,223.96,227.01,48201835.0,1.0,0.0,AAPL,XNAS,2024-07-22T00:00:00+0000
224.82,226.8,223.28,224.31,48992100.0,226.8,223.275,224.31,224.82,49151453.0,1.0,0.0,AAPL,XNAS,2024-07-19T00:00:00+0000
230.28,230.44,222.27,224.18,65964400.0,230.44,222.27,224.18,230.28,66034585.0,1.0,0.0,AAPL,XNAS,2024-07-18T00:00:00+0000
229.45,231.46,226.64,228.88,57281800.0,231.4599,226.64,228.88,229.45,57345884.0,1.0,0.0,AAPL,XNAS,2024-07-17T00:00:00+0000
235.0,236.27,232.33,234.82,43176800.0,236.27,232.33,234.82,235.0,43234278.0,1.0,0.0,AAPL,XNAS,2024-07-16T00:00:00+0000
236.532,237.23,233.09,234.4,58409071.0,237.23,233.09,234.4,236.48,62631252.0,1.0,0.0,AAPL,XNAS,2024-07-15T00:00:00+0000
228.92,232.64,228.68,230.54,53008200.0,232.64,228.68,230.54,228.92,53046527.0,1.0,0.0,AAPL,XNAS,2024-07-12T00:00:00+0000
231.39,232.39,225.77,227.57,64516900.0,232.39,225.77,227.57,231.39,64710617.0,1.0,0.0,AAPL,XNAS,2024-07-11T00:00:00+0000
229.3,233.08,229.25,232.98,62557700.0,233.08,229.25,232.98,229.3,62627687.0,1.0,0.0,AAPL,XNAS,2024-07-10T00:00:00+0000
227.93,229.4,226.37,228.68,48076100.0,229.4,226.3721,228.68,227.93,48169822.0,1.0,0.0,AAPL,XNAS,2024-07-09T00:00:00+0000
227.09,227.85,223.25,227.82,58979000.0,227.85,223.25,227.82,227.09,59085861.0,1.0,0.0,AAPL,XNAS,2024-07-08T00:00:00+0000
